sim	node	label	bl.subs	bl.coal	sim.theta	est.theta
B	<1>	taeGut-aptFor	0.04155687	0.6405917667919571	0.04578784	0.12974525166976209
B	<2>	aptHaa-aptOwe	0.00305054	0.5844626891211232	0.006321079	0.010438784397297295
B	<5>	cryCin-tinGut	0.0172068	0.4464037139048625	0.037018559	0.0770907564790875
B	<6>	eudEle-notPer	0.0079941	0.09006896387993936	0.057911894	0.17751064641214306
B	<8>	aptHaa-aptRow	0.0277496	1.9642247388454819	0.019876606	0.028255015275197543
B	<3>	casCas-droNov	0.0273773	1.1909418403342975	0.029694415	0.04597588072363834
B	<9>	cryCin-eudEle	0.0672093	0.5243724186726999	0.095580579	0.2563418578350146
B	<10>	aptHaa-casCas	0.0028599	0.07130542254868777	0.086448824	0.0802154982826795
B	<4>	rheAme-rhePen	0.0566382	1.4279458870025192	0.027801219	0.07932821616776026
B	<12>	aptHaa-rheAme	0.00185668	0.0	0.058734321	NA
B	<11>	cryCin-anoDid	0.0253604	0.3560659305216144	0.053495448	0.1424477762466552
B	<13>	aptHaa-cryCin	0.0118742	0.02387915533460797	0.064943475	0.9945242897926768
B	<7>	taeGut-galGal	0.0406841	1.1996290184080896	0.04578784	0.06782780238842154
B	<14>	aptHaa-strCam	0.0406969	1.1996290184080896	0.011627686	0.06784914231902273
